,index,Date,Open,High,Low,Close,Volume,Momentum1D,RSI14D,MiddleBB,UpperBB,LowerBB,PVT,PROC,MoneyFlowIndex,NextHigh
0,19,2005-03-24,102.33,102.79,101.98,102.05,59713798,0.11999999999999034,22.41594022415946,104.697,106.30146121469909,103.09253878530092,5429.273816773275,-1.8655639965381265,28.63730910285183,102.75
1,20,2005-03-28,102.29,102.75,102.19,102.19,53885043,0.14000000000000057,23.68313597386704,104.51700000000001,106.1927405275846,102.84125947241542,3623.8538692852744,-1.0362192523726588,28.411337262510514,102.71
2,21,2005-03-29,102.05,102.71,101.27,101.51,83849903,-0.6799999999999926,22.9521171349428,104.3385,106.13677190438634,102.54022809561366,-631883.6419182031,-1.3412382155700218,28.50636456504023,102.98
3,22,2005-03-30,101.85,102.98,101.72,102.96,72199510,1.4499999999999886,35.23693803159173,104.2055,106.0023700125789,102.40862998742111,1589279.979598912,1.0898379970544914,35.64782860771376,103.19
4,23,2005-03-31,102.97,103.19,102.68,102.77,74669192,-0.18999999999999773,39.20704845814975,104.0655,105.85953829977306,102.27146170022694,-1169112.7615301774,0.8240949671342972,42.824744168894625,103.66
5,24,2005-04-01,103.34,103.66,101.85,102.3,111800673,-0.46999999999999886,40.40862656072646,103.9,105.69673094960352,102.10326905039649,-373507.3509936383,0.24497795198432143,42.90157306691479,102.67
6,25,2005-04-04,102.24,102.67,101.7,102.48,82200501,0.18000000000000682,35.74051407588737,103.67750000000001,105.35053655542534,102.00446344457468,655934.4615834107,0.2837851061747786,35.682554372975474,103.12
7,26,2005-04-05,102.6,103.12,102.52,102.97,57487581,0.4899999999999949,38.068181818181756,103.4775,104.96502664726242,101.9899733527376,130238.0009146111,1.438281942665741,42.8871010348647,103.62
8,27,2005-04-06,103.19,103.62,102.96,103.32,61195953,0.3499999999999943,39.50456323337676,103.31599999999999,104.61589635214341,102.01610364785657,-66864.31556401958,0.34965034965034913,50.09017905991228,103.89
9,28,2005-04-07,103.15,103.89,103.06,103.87,54209783,0.5500000000000114,42.00000000000007,103.24000000000001,104.45384122780362,102.0261587721964,80565.17906227996,1.070351269825833,50.077101270489806,103.85
10,29,2005-04-08,103.81,103.85,102.8,102.8,73804604,-1.0700000000000074,39.747634069400576,103.099,104.17814147162893,102.01985852837107,-1048859.3643724245,0.4887585532746823,50.0872057964023,103.16
11,30,2005-04-11,103.04,103.16,102.65,102.89,52639928,0.09000000000000341,35.714285714285715,102.99949999999998,103.99422543156916,102.0047745684308,806371.7274273996,0.4000780640124869,50.09022633124429,103.72
12,31,2005-04-12,102.7,103.72,101.98,103.41,99373733,0.519999999999996,39.71985992996501,102.893,103.6971870690985,102.0888129309015,456143.4536047471,0.42730892492958894,57.23582777480242,103.5
13,32,2005-04-13,103.28,103.5,102.04,102.18,75829826,-1.2299999999999898,37.25339973185214,102.7695,103.47302103174334,102.06597896825664,-1404179.3464530874,-1.1033681765388952,57.215664552194696,102.37
14,33,2005-04-14,102.31,102.37,100.86,100.86,114379408,-1.3200000000000074,36.30818619582664,102.624,103.4062262426797,101.8417737573203,-575646.2273821624,-2.8978530855877587,50.13636426885097,101.22
15,34,2005-04-15,100.83,101.22,99.399,99.439,153892870,-1.4210000000000065,36.260113874737755,102.39644999999999,103.39298000456581,101.39991999543416,-690574.8284334892,-3.2694552529182923,43.084312138610166,100.15
16,35,2005-04-18,99.419,100.15,99.269,99.75,115154806,0.31100000000000705,34.14387616599762,102.22094999999999,103.35673961520165,101.08516038479833,2528323.3073985144,-3.051802896297017,43.14766689612191,100.8
17,36,2005-04-19,100.27,100.8,100.04,100.55,78518182,0.7999999999999972,30.213911925819428,102.10395000000001,103.28674350313256,100.92115649686747,269567.85657612357,-2.76568997195629,43.06461987779561,100.73
